Wavelength (nm),Sensitivity multiplier
204.8495007,0.00002
204.8564549,0.00002
204.8634101,0.00002
204.8703633,0.00002
204.8773175,0.00002
204.8842707,0.00002
204.8912238,0.00002
204.898176,0.00002
204.9051282,0.00002
204.9120804,0.00002
204.9190316,0.00002
204.9259828,0.00002
204.932934,0.00002
204.9398842,0.00002
204.9468333,0.00002
204.9537835,0.00002
204.9607327,0.00002
204.9676809,0.00002
204.9746301,0.00002
204.9815783,0.00002
204.9885255,0.00002
204.9954727,0.00002
205.0024198,0.00002
205.009366,0.00002
205.0163122,0.00002
205.0232584,0.00002
205.0302036,0.00002
205.0371488,0.00002
205.0440929,0.00002
205.0510371,0.00002
205.0579813,0.00002
205.0649245,0.00002
205.0718677,0.00002
205.0788109,0.00002
205.085753,0.00002
205.0926952,0.00002
205.0996364,0.00002
205.1065776,0.00002
205.1135188,0.00002
205.120459,0.00002
205.1273991,0.00002
205.1343383,0.00002
205.1412775,0.00002
205.1482167,0.00002
205.1551559,0.00002
205.162093,0.00002
205.1690312,0.00002
205.1759684,0.00002
205.1829056,0.00002
205.1898427,0.00002
205.1967789,0.00002
205.2037141,0.00002
205.2106503,0.00002
205.2175855,0.00002
205.2245196,0.00002
205.2314538,0.00002
205.238388,0.00002
205.2453222,0.00002
205.2522553,0.00002
205.2591875,0.00002
205.2661207,0.00002
205.2730529,0.00002
205.279984,0.00002
205.2869152,0.00002
205.2938464,0.00002
205.3007766,0.00002
205.3077067,0.00002
205.3146369,0.00002
205.3215661,0.00002
205.3284953,0.00002
205.3354244,0.00002
205.3423526,0.00002
205.3492798,0.00002
205.3562079,0.00002
205.3631351,0.00002
205.3700613,0.00002
205.3769875,0.00002
205.3839136,0.00002
205.3908398,0.00002
205.397765,0.00002
205.4046891,0.00002
205.4116143,0.00002
205.4185385,0.00002
205.4254616,0.00002
205.4323848,0.00002
205.439308,0.00002
205.4462302,0.00002
205.4531523,0.00002
205.4600745,0.00002
205.4669957,0.00002
205.4739168,0.00002
205.480838,0.00002
205.4877582,0.00002
205.4946773,0.00002
205.5015975,0.00002
205.5085167,0.00002
205.5154348,0.00002
205.522354,0.00002
205.5292712,0.00002
205.5361893,0.00002
205.5431065,0.00002
205.5500236,0.00002
205.5569398,0.00002
205.563856,0.00002
205.5707711,0.00002
205.5776863,0.00002
205.5846015,0.00002
205.5915166,0.00002
205.5984308,0.00002
205.605344,0.00002
205.6122571,0.00002
205.6191703,0.00002
205.6260834,0.00002
205.6329956,0.00002
205.6399068,0.00002
205.6468189,0.00002
205.6537301,0.00002
205.6606402,0.00002
205.6675504,0.00002
205.6744606,0.00002
205.6813707,0.00002
205.6882799,0.00002
205.695188,0.00002
205.7020972,0.00002
205.7090054,0.00002
205.7159125,0.00002
205.7228197,0.00002
205.7297268,0.00002
205.736633,0.00002
205.7435391,0.00002
205.7504453,0.00002
205.7573505,0.00002
205.7642556,0.00002
205.7711598,0.00002
205.7780639,0.00002
205.7849681,0.00002
205.7918712,0.00002
205.7987744,0.00002
205.8056775,0.00002
205.8125797,0.00002
205.8194819,0.00002
205.826383,0.00002
205.8332842,0.00002
205.8401853,0.00002
205.8470855,0.00002
205.8539856,0.00002
205.8608848,0.00002
205.8677839,0.00002
205.8746831,0.00002
205.8815812,0.00002
205.8884794,0.00002
205.8953775,0.00002
205.9022747,0.00002
205.9091718,0.00002
205.916068,0.00002
205.9229641,0.00002
205.9298603,0.00002
205.9367554,0.00002
205.9436506,0.00002
205.9505457,0.00002
205.9574399,0.00002
205.964333,0.00002
205.9712272,0.00002
205.9781203,0.00002
205.9850125,0.00002
205.9919056,0.00002
205.9987968,0.00002
206.0056889,0.00002
206.0125801,0.00002
206.0194702,0.00002
206.0263614,0.00002
206.0332515,0.00002
206.0401406,0.00002
206.0470298,0.00002
206.0539189,0.00002
206.0608071,0.00002
206.0676952,0.00002
206.0745834,0.00002
206.0814705,0.00002
206.0883577,0.00002
206.0952438,0.00002
206.1021309,0.00002
206.1090161,0.00002
206.1159012,0.00002
206.1227864,0.00002
206.1296715,0.00002
206.1365557,0.00002
206.1434398,0.00002
206.1503229,0.00002
206.1572061,0.00002
